objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
sw22,sw19,bluesapphirering_back.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
sw23,sw19,bluesapphirering_top.jpg,image/jpg,Blue Sapphire Ring ,Conaille ,1990s,Mauritius ,Jewelry ,"Rings, Accessories ","Yellow Gold, Gold, Blue Sapphire, Sapphire","Female, Male ",,"Representation of repurposing heirlooms into more wearable items, representation of material items being passed down among women in family ","1940s sapphire broach, most likely of Sri Lankan creation, remodeled into custome made ring by Mauritian jeweler Conaille ",1990,Mauritius ,Mavis Hocking ,
sw24,,,compound_object,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw25,sw24,diorjacket_front.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw26,sw24,diorjacket_collar.JPG,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw27,sw24,diorjacket_label.JPG,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw28,sw24,diorjacket_seal.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw29,sw24,diorjacket_tag.jpg,image/jpg,Dior Jacket,Christian Dior ,1960s ,London ,Clothing ,"Outerwear, Suits ","Wool, Twill, Wool Twill ",Female ,"Christian Dior; U.K. REGD., MADE IN ENGLAND BY, Christian Dior Ltd. London, DIOR; f.m.; Christian Dior, MADE IN ENGLAND, BY CHRISTIAN DIOR LTD. LONDON",,"Suit jacket, dress missing, official seals from Christian Dior ",1986-1988 ,Edinburgh ,,
sw30,,,compound_object,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
sw31,sw30,ysleveningdress_whole.jpg,image/jpg,YSL Evening Dress,Yves Saint Laurent ,1970s-1980s,,Clothing ,"Evening Dresses, Dresses, Gowns","Silk, Jersey, Silk Jersey  ",Female ,,,"Yves Saint Laurent, label missing, evening dress",1990,London,,
